ticker,exchange,avg_price_volatility_5d,avg_price_volatility_20d,max_price_volatility_5d,avg_price_momentum_5d,avg_price_momentum_20d,avg_volume_ratio,max_volume_ratio,avg_volume_volatility,volume_trend,avg_pv_correlation,min_pv_correlation,avg_hl_spread,max_hl_spread,avg_hl_spread_ratio,avg_rsi,min_rsi,max_rsi,total_return_6m,max_drawdown_6m,sharpe_ratio_6m,data_points,missing_data_pct,anomaly_score,is_anomaly,anomaly_probability
ENOV,NYQ,0.04500839529613099,0.045451384254166595,0.1310886355458692,-0.01962757748605864,-0.08229823589887385,1.0837452156428435,4.250786689172445,1476214.0710669248,2.731852076595014,0.029527047829170445,-0.7493894335620308,0.07528096480812559,0.29592995467344657,1.0135358222527788,43.80722020068177,8.21072409726375,86.69218684745907,-0.5369619578558071,-0.6054567655739815,-0.09039326448999317,120,0.0,0.09160065295912045,False,0.05503452853285429
ECL,NYQ,0.02359618836793044,0.025681130723080436,0.0585879836795176,0.021260178644017757,0.09398905408805529,1.0164692991269006,1.9113008327938292,1565622.8636363898,1.2977804493707736,0.05640124052332907,-0.7231232086595911,0.03611266606376807,0.11821245213696704,0.9881405050923476,60.94421204497222,12.6976780238831,90.82371131613871,0.5739016262400145,-0.16524662303879706,0.15452838765051657,120,0.0,0.09165844687797536,False,0.05490422428488262
FRSH,NMS,0.060150803390720944,0.0684942563050774,0.16687276080569646,0.00012895570410253096,0.02664534552390471,1.0572612679989768,2.964637975122869,6020261.462532184,1.596459258748861,-0.009599175956548212,-0.9627727895163252,0.09082687882205306,0.4112616227785013,0.995186749332346,46.44737812312466,12.126545017065155,81.34034214974466,-0.3680318711665195,-0.5399585990820243,-0.012322627664154878,120,0.0,0.09166337973629896,False,0.054893102485099154
AMJB,PCX,0.021260158737719265,0.024941268307135903,0.06474352565145555,0.012215725717095848,0.05052645396512223,0.870104437266103,3.2395407863109944,251119.71020471753,2.5271779234639427,0.03577793691230054,-0.7298856089096303,0.038297751056802956,0.15690221269051258,1.0006257818296507,57.405636389715845,21.082113074332227,76.94305200835048,0.18070519917012717,-0.1309012802990423,0.08942150047150639,89,0.06595017098192477,0.091681692227631,False,0.054851814483544814
THB.AX,ASX,0.12060913215276828,0.11922422200027613,0.2661453060202795,-0.03312434157308041,-0.24038946829485114,1.2667061121704677,8.8684744986299,3159696.323601308,14.661624971147472,-0.03618624420663252,-0.8219273544067558,0.21929067671314334,0.8571429057997109,0.9763873472726053,40.30888254677507,5.489765107161347,78.43136889677481,-0.6666666749450892,-0.9155555560338644,-0.013257726388330308,120,0.0,0.0916841270131562,False,0.05484632492853425
GNK,NYQ,0.040844251821638394,0.04507631110394674,0.09638680376754889,0.020678043286842883,0.053924434841591526,0.9859103346492826,2.1904691164142993,706620.4204303703,1.0065493977417277,0.07805502363189838,-0.9127292661745452,0.06565653819428141,0.20683761673034956,1.0037496633666236,53.01233883167376,20.267667401034828,90.33637657134587,0.2825071844018334,-0.4518842449887829,0.06887765393056926,120,0.0,0.09170141235070312,False,0.05480735278484483
WBT.AX,ASX,0.08719259456212564,0.09639232902925134,0.17500845574045315,-0.0006731292834194269,-0.07647961896815038,0.9784011364236956,3.1296923404676527,1757817.8111285758,0.8298464879322043,-0.07082826971045562,-0.8646051791678577,0.1369066161237713,0.33432840473483655,0.9787514058825362,45.102427605686835,10.370363044475312,88.7164996682989,-0.24816174456482343,-0.7552504084506945,0.026354845206634413,120,0.0,0.09170781208135476,False,0.05479292372195543
DOV,NYQ,0.028998050764449036,0.0312905049665102,0.0724323413710485,0.011622295612838325,0.04524719661607255,1.016021518131065,2.3325750204269835,1311319.213576457,1.1980104763812367,0.015927499445691252,-0.5400971051613973,0.04602659785736624,0.18821226520420797,0.9890841151040363,55.59634670345887,24.509264222781184,85.43578546646728,0.21354822776061222,-0.25042073328057185,0.055409352783351705,120,0.0,0.09170865330388062,False,0.054791027071394605
AMRX,NMS,0.05487342735318821,0.06057342841612061,0.1569721267346537,0.06452604855761077,0.3393394430673033,1.0431145028189548,2.4783760888965394,2237588.081920705,1.6102466748563025,0.18207699268546118,-0.5444168645029657,0.09537782343944011,0.28753995605785787,0.9771323498243938,61.83032375205777,33.80951245624732,90.7834167203429,2.2161292173363845,-0.2157303013203782,0.20419610195751,120,0.0,0.09172244477526265,False,0.054759932324015215
CTE.AX,ASX,0.0576465851094954,0.06676858696211418,0.12634340392858717,0.028164258577669007,0.06372267010566213,1.0387409881537988,13.448693139370798,54572.148022380796,1.2403571590445541,-0.06489808811439755,-0.9242016873446347,0.04576789251750861,0.32371795753520416,0.9667050409627266,51.526039178375186,14.03507891343834,86.56715885883756,0.5462567347856997,-0.42001770755685397,0.09284670476282587,120,0.0,0.09174015922311063,False,0.05471999269280836
SSH.AX,ASX,0.0759711534291727,0.07909176127264893,0.17847487440655857,0.011333578910821438,0.03453953395278338,1.1926370864018758,11.049834276300153,154465.57152389988,5.339488136552114,0.15129693443565026,-0.9426951916814132,0.07026678259373478,0.5000000372529024,1.0265508101340948,50.1833865905761,7.272722223573112,83.09859110589687,-0.033333399560713795,-0.6411764703304298,0.03781939000055164,120,0.0,0.09174705817525075,False,0.054704438067196826
DBMM,PNK,0.21261028848451832,0.2686959635408139,1.3072115942893625,0.016558294661254344,0.028701705473791698,0.9138220320631113,5.981348465601707,9386588.855588818,0.167065916324584,0.025752467411286284,-0.765320497798481,0.36521514734127825,1.3571429492059977,0.9733002457442891,43.28731758206056,12.5,78.12499943156578,-0.8555555489443147,-0.933333327296983,0.04116190880924163,120,0.0,0.09176187341213721,False,0.05467103510129201
GLQ,ASE,0.022759949378155207,0.024372912173755715,0.06054529046368426,0.02234217121847447,0.08308508316780822,0.9632817323801482,2.201341470783733,100647.8862631459,0.6825427966916715,-0.053265516472683315,-0.7595337226101027,0.033062741211077426,0.125,0.9883280004950004,61.57530523854546,22.205612793009863,87.3940940509083,0.5734413400706739,-0.16616516766735565,0.17797080836794077,120,0.0,0.0917806870010805,False,0.05462861730704183
