ticker,exchange,avg_price_volatility_5d,avg_price_volatility_20d,max_price_volatility_5d,avg_price_momentum_5d,avg_price_momentum_20d,avg_volume_ratio,max_volume_ratio,avg_volume_volatility,volume_trend,avg_pv_correlation,min_pv_correlation,avg_hl_spread,max_hl_spread,avg_hl_spread_ratio,avg_rsi,min_rsi,max_rsi,total_return_6m,max_drawdown_6m,sharpe_ratio_6m,data_points,missing_data_pct,anomaly_score,is_anomaly,anomaly_probability
AHR,NYQ,0.03363470573776202,0.037283520494090526,0.07057140289690195,0.07805723675430189,0.39843399267427637,1.0900620230340794,3.841272883163492,3866868.59028983,1.3070632547938625,-0.09201218582792027,-0.6070663236656917,0.061101839868608614,0.1383481919569286,0.9819903661751288,73.87767243852205,47.436686515238776,93.49670596210932,2.3298049973094734,-0.08868353409571271,0.39701915505224195,88,0.06669960474308301,-0.04720871789394826,True,0.3679991282486068
AAPL,NMS,0.026308977492945966,0.028452548719667282,0.07008041367252686,0.007871700157292237,0.020075147599208625,0.9943437480232137,2.4082539358399115,69846195.55897558,1.1557193618788362,0.0117304107247535,-0.6862027832369674,0.053999554451592484,0.2032062734211633,0.9819961669296501,55.29061871293038,8.828197862820062,95.14668346566162,0.09133688167988319,-0.2621498027630783,0.03923830445189162,120,0.0,-0.04701356397982753,True,0.3675591272152443
TRA.AX,ASX,0.014593532633211231,0.01799870054402813,0.06078628185956057,0.030918165557461033,0.11406050884131501,0.865626545126087,15.443162949333571,1530.970017311783,0.7286821705426356,0.38867319993677457,-0.7926415853467484,0.007047270464310026,0.11965808900455063,1.032907311392899,79.68589712316752,16.488698074430758,100.0,1.0404712579390685,-0.050391323459419,0.29081843981125655,120,0.0,-0.04694573556566256,True,0.3674061988332623
PCI.AX,ASX,0.013700681879918677,0.014797723492195524,0.035463519197942925,0.016124505373871497,0.06055508687270604,1.0363017530730836,2.66861646991258,986614.291142458,1.653123003694164,-0.30342625999962775,-0.8431974982798986,0.030796961974233664,0.07929518425975231,1.006131642077494,65.17203053815587,47.37318822769918,95.41404137841684,0.42129932967088357,-0.05676870180715881,0.2151294428336754,120,0.0,-0.04661885938425686,True,0.3666692120387718
GORV,NCM,0.11058668161125758,0.11774587134371857,0.37759142692813513,-0.16046536659419447,-0.47995953833549326,1.3412102690556003,18.36248901454783,697271.4601158742,1111.4284768211921,0.03391047924315116,-0.8093489184133354,0.2717728055167092,2.2333333484710214,1.0676699542918624,30.310931435561898,4.878047015474749,61.52738022507379,-0.9928489039608791,-0.9945904177264357,-0.22714960970017503,120,0.0,-0.04648988168999685,True,0.36637841429069273
FVN,NCM,0.002252411324440964,0.0021539196134862395,0.00414583629143328,0.005201122063731293,0.023357388815378518,0.6446130818696311,4.933295486801022,93420.79289428439,0.07276976057723844,0.12367132598208617,-0.6922762281214097,0.0026002002472267746,0.011964096585627167,0.9556674001326507,81.02329631939412,59.17432597369077,96.15376150827129,0.04914741805359957,-0.005630309642458137,0.4379959312722332,49,0.11978704525288376,-0.04645369723206055,True,0.36629683151047865
ATROB,PNK,0.07363735088033557,0.07569709549030448,0.18392659336105105,0.051332365198463195,0.20120470141790187,0.9693633783342228,7.109375,2855.3740852253104,0.8501764705882353,0.43578165935492746,-0.14806807361345414,0.07066325301422406,0.3155022608467268,1.0093594362580036,56.534680372036334,13.183590912375934,90.69766597859658,1.2695213285293132,-0.3555758262206574,0.12188956816674328,120,0.0,-0.046361369448123135,True,0.3660886659683035
GTLL,PNK,0.3310333316149775,0.35291190057275323,1.0448286451271986,0.04840926016782891,0.18570084916728344,0.9128976925089742,7.112996150872622,78088919.05096605,0.6134113056345566,-0.16139089144909685,-0.7461932047460079,0.6935240294376838,2.0000002182787338,1.0217930807412419,49.945279392148706,22.222225096674435,74.99999954525269,-0.5,-0.7142857113159355,0.12126895271172984,120,0.0,-0.04619457316373027,True,0.3657126010667894
FKST,PNK,0.08720118174698811,0.20624100703178522,0.7995162269269683,0.007556805615003753,0.17919828536474475,1.1223051362271872,20.0,90.04923935178076,6.6356589147286815,-0.6094986065416211,-0.9999999999999749,0.058503825541553756,1.4062499941792337,1.2708097543769314,17.704645656396046,0.0,99.39460444285054,-0.7509727617434837,-0.7933073908555432,0.023782222566822577,120,0.014492753623188406,-0.04613311248103674,True,0.36557402960119434
CCL.AX,ASX,0.03999253421023259,0.043671408331700724,0.11155372739275525,0.06543875296118334,0.24908916766118633,1.0083504411072222,2.484759959677589,671201.5006900057,0.8082241930438595,0.3654569975165163,0.013163754825871277,0.06573447630067851,0.2370571845975625,0.9908542822549814,66.7715235788498,50.5050411185759,88.07339755193422,0.6500700214628923,-0.121323532684051,0.2539564018882807,47,0.12488436632747456,-0.045945659807171524,True,0.36515139206108205
ATH.AX,ASX,0.1371149203613998,0.15029424189721088,0.38639939694367076,0.06647483643227668,0.26089574871557386,1.231079005139478,11.83681661572798,65026025.58043095,9.554755878460986,0.1260330395590639,-0.9050121645306319,0.2694284557832574,0.9166665761214171,1.000484817340468,51.590082881871794,24.999997089616414,84.61538351322783,0.7142856762725491,-0.6250000145519146,0.1045892171317941,120,0.0,-0.045811246621352,True,0.3648483392582489
ENVB,NCM,0.1322557608175399,0.18263661625770566,0.7263837419194533,-0.15144330177102022,-0.4065006633531307,1.419975947667848,18.644494745064147,4437845.432234625,960.242637035813,0.25513380772042826,-0.9549243190670696,0.2443401710173338,1.4114832202936427,0.9848737357201066,32.11383472767033,1.6085500046542052,63.835877981972715,-0.9991757335970985,-0.9992060666032409,-0.15886587028837634,120,0.0,-0.04553187561502886,True,0.36421845933999286
JTAI,NCM,0.17504666889120737,0.1989432106516598,0.6619108576118962,-0.16745352620082996,-0.5483094369060476,1.7685019385072256,17.677533150628854,6255993.312607697,97.78183131659743,0.32268594788438704,-0.9919990289116445,0.3355742041926987,1.8386123680241326,1.0154446643253559,29.85113400494039,4.278661546900707,73.26732673267327,-0.9989042215816183,-0.9989868408260495,-0.14634101223418775,120,0.0,-0.04539614974660472,True,0.36391244691574953
SGR.AX,ASX,0.08153001320604816,0.08755856754397132,0.25835900137636747,-0.07918779845477729,-0.28404961692938274,1.023336402591581,5.126272806098268,53702931.04698649,1.2387626425114404,-0.19925878042700568,-0.9116071107875423,0.13250720242214556,0.9799999594688416,1.0029114513571444,35.61726760937812,5.555558544986042,83.99999523162955,-0.9016697508576251,-0.9153504435056314,-0.15982887730322598,120,0.0,-0.04531208705892836,True,0.3637229161568536
EESH,PNK,1.053619553152412,1.7237480078226237,21.913466244576085,2.7136675313912395,14.169427493561171,0.9405240972158403,20.0,40937.136012676936,0.6092560853232925,-0.27691488604624753,-1.0000000000000022,0.16371865894156065,2.0,0.9994545911503588,40.52531696284761,0.0,100.0,-0.8039215693435775,-0.9966666666763679,0.08879893818436121,120,0.02463768115942029,-0.04520294549013776,True,0.3634768416506514
BALY,NYQ,0.11433544929013136,0.1451000157816464,0.31540672740561393,-0.0342595728027474,-0.29028456709515177,1.6264202340405214,4.8294577000245384,280323.7922903764,33.99689361702128,0.22154595379875736,-0.4127393117118256,0.1924702877200387,0.5243697454747351,0.9054208445092886,42.86580832851304,17.11491556563412,67.2669458992015,-0.2555366722150545,-0.5136986425264792,0.017560329305500753,45,0.13043478260869565,-0.04467730291429067,True,0.36229170899474683
ATMVU,NCM,0.02021713393992044,0.01831895986488703,0.2773892173100383,0.03922033251702705,0.06006480803345368,1.0782677545183281,18.83538633818589,4918.53376164099,6.5036496350364965,0.1808470923643298,-0.9999999999999347,0.019774708207328972,1.3863636363636365,1.6388718811444871,70.16239490906655,0.0,100.0,1.0972355081047773,-0.0827921695905455,0.1248758152751069,120,0.0014492753623188406,-0.04461011092568351,True,0.3621402155207162
ISEC.AX,ASX,0.0027169639374749486,0.002516469353831352,0.0035710576338214856,0.004250583862245628,0.01702208632935898,0.9856854665834488,5.437887325066602,40992.14693676672,0.9095602336549187,0.06243695624145584,-0.5159677880596516,0.0013208614012460982,0.004774651679772143,1.0151586156474135,69.90659595487965,61.878390147955386,75.5421390890539,0.10879566381365269,-0.0034696996377389946,0.33861680627260704,120,0.0,-0.04421551821654518,True,0.3612505526074179
GPATU,NGM,0.006741022407654121,0.010661636647450632,0.03891311830264848,0.00448621824664587,0.021541834966181495,0.21111278873987768,2.804628999319265,161474.2426521401,6.604387294479723e-06,-0.03634011901458067,-0.8869934315100251,0.013221065647270023,0.18315375891991387,0.8940468854391646,64.80707049414235,23.80951948447101,100.0,0.06454822163884244,-0.06128140882395757,0.08704937081953604,75,0.08057971014492754,-0.04407044596952031,True,0.3609234675018449
ELRA,PNK,0.19061110027499278,0.18265010002164903,0.5167338779892334,0.025252182038754532,-0.029900266575365677,1.1310710935497241,15.937027516158867,48363263.24350484,10.921527131291631,0.26804609021376413,-0.7358154998577379,0.38122077667378174,2.6500000909494723,0.9987299313619052,47.87907515481245,24.999992724040624,77.77777634055155,0.0,-0.75,0.08941691118710311,120,0.0,-0.043952806128713606,True,0.3606582324859203
ANSCU,NGM,0.007299369525352404,0.008184396175682966,0.06406373625826398,0.0038502361620149812,0.018123344036831076,0.5365230527101392,18.91693350913543,156760.56425277697,3.060293910627177e-05,0.0007564090649600721,-0.9361915505126728,0.00804217454262342,0.15510603011571156,0.9476012332180153,67.8009309985339,33.333863148692686,100.0,0.07501243377221933,-0.09075629901906179,0.05961863449733692,101,0.058114507102884204,-0.04361623433206524,True,0.359899385608607
BULLW,NCM,0.27220174502324174,0.34153565005134406,1.7997367160744677,0.42598746344701927,2.010072141699475,1.1582753445436638,15.515549366752868,550041.216557141,2.671225937183384,0.2234316630130282,-0.5742708442533758,0.3553575677045709,1.9874999748542908,0.9640982305748267,55.94486873085831,18.750000396870433,93.68836329883644,30.79999860922501,-0.7437499871943143,0.1643088976085008,120,0.0,-0.04339318920932661,True,0.3593965000532051
CHAR,NGM,0.0027572777925579327,0.00301191648693266,0.0055990846648064346,0.004928762976893175,0.022907876876655076,0.7528386557234819,6.035872963633372,167425.1400095007,0.0932628896882494,-0.05983672652460634,-0.46129482371441216,0.007245173762429598,0.09758455958031698,0.8854601358249085,75.43117747731462,53.52104635739351,91.17652833681612,0.04545462427060776,-0.004830936124831633,0.3626434891114046,46,0.1275992438563327,-0.04333494421013545,True,0.35926517878328446
BKHA,NGM,0.0037148518719869075,0.004006072508255915,0.016959514311883177,0.006806852759139338,0.026533626566193767,0.692826554580997,7.404669260700389,95104.15798213088,0.015288782318598832,0.20396381344997452,-0.5699738865876249,0.004323634283693671,0.0727934674609614,1.0081622176001728,75.7593069517133,61.224469936123754,91.66650109870896,0.10286844680218654,-0.012070576500969968,0.2727918616273346,74,0.07931844888366628,-0.04318850508224542,True,0.3589350118589538
